date,equity,capital,unrealized_pnl,open_positions,spot
2024-02-14,125498.05143554692,125498.05143554692,0.0,0,487.9798278808594
2024-02-16,125498.05143554692,125498.05143554692,0.0,0,488.89984130859375
2024-02-21,125498.05143554692,125498.05143554692,0.0,0,486.648681640625
2024-02-23,125498.05143554692,125498.05143554692,0.0,0,497.0627136230469
2024-02-26,125498.05143554692,125498.05143554692,0.0,0,495.2422180175781
2024-02-28,125498.05143554692,125498.05143554692,0.0,0,495.5065002441406
2024-03-01,125498.05143554692,125498.05143554692,0.0,0,501.9564514160156
2024-03-04,125498.05143554692,125498.05143554692,0.0,0,501.41815185546875
2024-03-06,125498.05143554692,125498.05143554692,0.0,0,498.92236328125
2024-03-08,125498.05143554692,125498.05143554692,0.0,0,500.85052490234375
2024-03-11,125498.05143554692,125498.05143554692,0.0,0,500.41986083984375
2024-03-13,125498.05143554692,125498.05143554692,0.0,0,505.01019287109375
2024-03-15,125498.05143554692,125498.05143554692,0.0,0,500.551025390625
2024-03-18,125498.05143554692,125498.05143554692,0.0,0,503.5258483886719
2024-03-20,125498.05143554692,125498.05143554692,0.0,0,511.0071716308594
2024-03-22,125498.05143554692,125498.05143554692,0.0,0,511.7239990234375
2024-03-25,125498.05143554692,125498.05143554692,0.0,0,510.3101806640625
2024-03-27,125498.05143554692,125498.05143554692,0.0,0,513.6482543945312
2024-04-01,125498.05143554692,125498.05143554692,0.0,0,512.6566772460938
2024-04-03,125498.05143554692,125498.05143554692,0.0,0,509.9566955566406
2024-04-05,125498.05143554692,125498.05143554692,0.0,0,508.9945983886719
2024-04-08,125498.05143554692,125498.05143554692,0.0,0,509.27923583984375
2024-04-10,125498.05143554692,125498.05143554692,0.0,0,504.76300048828125
2024-04-12,125498.05143554692,125498.05143554692,0.0,0,501.5525207519531
2024-04-15,125498.05143554692,125498.05143554692,0.0,0,495.2690124511719
2024-04-17,125498.05143554692,125498.05143554692,0.0,0,491.43994140625
2024-04-19,125498.05143554692,125498.05143554692,0.0,0,486.1480712890625
2024-04-22,125498.05143554692,125498.05143554692,0.0,0,490.6250915527344
2024-04-24,125498.05143554692,125498.05143554692,0.0,0,496.2115173339844
2024-04-26,125498.05143554692,125498.05143554692,0.0,0,499.0096740722656
2024-04-29,125498.05143554692,125498.05143554692,0.0,0,500.7768859863281
2024-05-01,125498.05143554692,125498.05143554692,0.0,0,491.2436218261719
2024-05-03,125498.05143554692,125498.05143554692,0.0,0,501.9844970703125
2024-05-06,125498.05143554692,125498.05143554692,0.0,0,507.1683349609375
2024-05-08,125498.05143554692,125498.05143554692,0.0,0,507.777099609375
2024-05-10,125498.05143554692,125498.05143554692,0.0,0,511.3607177734375
2024-05-13,125498.05143554692,125498.05143554692,0.0,0,511.4293518066406
2024-05-15,125498.05143554692,125498.05143554692,0.0,0,520.137939453125
2024-05-17,125498.05143554692,125498.05143554692,0.0,0,519.8140869140625
2024-05-20,125498.05143554692,125498.05143554692,0.0,0,520.4129028320312
2024-05-22,125498.05143554692,125498.05143554692,0.0,0,520.1871337890625
2024-05-24,125498.05143554692,125498.05143554692,0.0,0,519.8040771484375
2024-05-29,125498.05143554692,125498.05143554692,0.0,0,516.5249633789062
2024-05-31,125498.05143554692,125498.05143554692,0.0,0,517.7719116210938
2024-06-03,125498.05143554692,125498.05143554692,0.0,0,518.1939697265625
2024-06-05,125498.05143554692,125498.05143554692,0.0,0,524.9389038085938
2024-06-07,125498.05143554692,125498.05143554692,0.0,0,524.2909545898438
2024-06-10,125498.05143554692,125498.05143554692,0.0,0,525.9109497070312
2024-06-12,125498.05143554692,125498.05143554692,0.0,0,531.5071411132812
2024-06-14,125498.05143554692,125498.05143554692,0.0,0,532.9014282226562
2024-06-17,125498.05143554692,125498.05143554692,0.0,0,537.1427001953125
2024-06-21,125498.05143554692,125498.05143554692,0.0,0,536.3245849609375
2024-06-24,125498.05143554692,125498.05143554692,0.0,0,534.5811767578125
2024-06-26,125498.05143554692,125498.05143554692,0.0,0,537.3095092773438
2024-06-28,125498.05143554692,125498.05143554692,0.0,0,536.0388793945312
2024-07-01,125498.05143554692,125498.05143554692,0.0,0,537.14208984375
2024-07-03,125498.05143554692,125498.05143554692,0.0,0,543.1701049804688
2024-07-05,125498.05143554692,125498.05143554692,0.0,0,546.3023071289062
2024-07-08,125498.05143554692,125498.05143554692,0.0,0,546.9326782226562
2024-07-10,125498.05143554692,125498.05143554692,0.0,0,552.8818359375
2024-07-12,125498.05143554692,125498.05143554692,0.0,0,551.5718994140625
2024-07-15,125498.05143554692,125498.05143554692,0.0,0,553.0886840820312
2024-07-17,125498.05143554692,125498.05143554692,0.0,0,548.5676879882812
2024-07-19,125498.05143554692,125498.05143554692,0.0,0,540.7371826171875
2024-07-22,125498.05143554692,125498.05143554692,0.0,0,546.3121948242188
2024-07-24,125498.05143554692,125498.05143554692,0.0,0,533.0939331054688
2024-07-26,125498.05143554692,125498.05143554692,0.0,0,536.2555541992188
2024-07-29,125498.05143554692,125498.05143554692,0.0,0,536.57080078125
2024-08-12,125498.05143554692,125498.05143554692,0.0,0,525.2536010742188
2024-08-14,125498.05143554692,125498.05143554692,0.0,0,535.5759887695312
2024-08-16,125498.05143554692,125498.05143554692,0.0,0,545.9772338867188
2024-08-19,125498.05143554692,125498.05143554692,0.0,0,551.1975708007812
